project_name,version,license,pypi_url,github_url,snyk_url,type
azure-graphrbac,v0.61.1,License: MIT,https://www.pypi.org/project/azure-graphrbac,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-graphrbac,key-ecosystem-project
azure-identity,v1.12.0,License: MIT,https://www.pypi.org/project/azure-identity,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-identity,key-ecosystem-project
azure-keyvault,v4.2.0,License: MIT,https://www.pypi.org/project/azure-keyvault,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-keyvault,key-ecosystem-project
azure-keyvault-keys,v4.8.0,License: MIT,https://www.pypi.org/project/azure-keyvault-keys,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-keyvault-keys,key-ecosystem-project
azure-keyvault-secrets,v4.7.0,License: MIT,https://www.pypi.org/project/azure-keyvault-secrets,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-keyvault-secrets,key-ecosystem-project
azure-mgmt-authorization,v3.0.0,License: MIT,https://www.pypi.org/project/azure-mgmt-authorization,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-mgmt-authorization,key-ecosystem-project
azure-mgmt-compute,v29.1.0,License: MIT,https://www.pypi.org/project/azure-mgmt-compute,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-mgmt-compute,key-ecosystem-project
azure-mgmt-containerregistry,v10.1.0,License: MIT,https://www.pypi.org/project/azure-mgmt-containerregistry,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-mgmt-containerregistry,key-ecosystem-project
azure-mgmt-core,v1.4.0,License: MIT,https://www.pypi.org/project/azure-mgmt-core,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-mgmt-core,key-ecosystem-project
azure-mgmt-datalake-nspkg,v3.0.1,License: MIT,https://www.pypi.org/project/azure-mgmt-datalake-nspkg,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-mgmt-datalake-nspkg,key-ecosystem-project
